                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.79384,                0.40073,                 1.1468,                0.96931,                0.96226,                0.97545,                 0.7502,                0.89724,                0.41323,                 1.3381,              0.0007526,              0.0007526,              0.0007526
                     65,                0.75935,                0.38041,                 1.1298,                0.98065,                0.98113,                0.97841,                0.75871,                0.89069,                0.42113,                 1.3178,              0.0007328,              0.0007328,              0.0007328
                     66,                0.78484,                0.39839,                 1.1434,                0.98053,                0.98113,                0.98441,                 0.7664,                0.90208,                 0.4088,                 1.3396,               0.000713,               0.000713,               0.000713
                     67,                0.77588,                 0.4118,                 1.1383,                 0.9629,                0.97937,                0.98371,                0.75488,                 0.9314,                 0.3974,                   1.38,              0.0006932,              0.0006932,              0.0006932
                     68,                0.77241,                0.38836,                   1.13,                0.98113,                0.98112,                0.98574,                0.75484,                0.91193,                0.40524,                 1.3794,              0.0006734,              0.0006734,              0.0006734
                     69,                0.77564,                0.39931,                  1.132,                      1,                0.96012,                 0.9857,                0.75165,                0.91844,                0.41362,                  1.339,              0.0006536,              0.0006536,              0.0006536
                     70,                0.76171,                  0.386,                  1.109,                 0.9811,                0.97936,                0.98326,                0.76297,                0.87029,                 0.3964,                    1.3,              0.0006338,              0.0006338,              0.0006338
                     71,                0.76561,                0.38706,                 1.1208,                0.97995,                0.98113,                0.97496,                0.74527,                0.91305,                0.41111,                 1.3609,               0.000614,               0.000614,               0.000614
                     72,                0.74944,                 0.3839,                 1.1279,                0.98108,                 0.9784,                0.98296,                0.76026,                0.94349,                 0.4214,                 1.3723,              0.0005942,              0.0005942,              0.0005942
                     73,                0.76937,                0.38236,                 1.1314,                0.97917,                0.98113,                0.98647,                0.75283,                0.93975,                 0.4217,                 1.3755,              0.0005744,              0.0005744,              0.0005744
                     74,                0.77632,                0.39179,                 1.1589,                 0.9811,                0.97967,                0.98432,                0.75537,                0.91151,                0.42044,                 1.3399,              0.0005546,              0.0005546,              0.0005546
                     75,                0.73441,                0.37457,                 1.1043,                0.96266,                0.97287,                0.98377,                0.75797,                0.88557,                0.38117,                 1.3326,              0.0005348,              0.0005348,              0.0005348
                     76,                0.71814,                0.38105,                 1.1082,                0.96291,                0.97973,                0.98439,                0.75723,                0.90105,                0.40599,                 1.3545,               0.000515,               0.000515,               0.000515
                     77,                0.75086,                0.38422,                 1.1362,                0.98106,                0.97735,                0.98386,                0.74271,                0.88545,                0.38578,                 1.3497,              0.0004952,              0.0004952,              0.0004952
                     78,                0.74373,                0.39452,                  1.106,                 0.9811,                0.97966,                0.98389,                0.74757,                0.91767,                0.38772,                 1.3665,              0.0004754,              0.0004754,              0.0004754
                     79,                0.73883,                0.37751,                 1.0977,                0.98103,                0.97599,                0.98551,                 0.7614,                 0.8919,                 0.3861,                 1.3346,              0.0004556,              0.0004556,              0.0004556
                     80,                0.72639,                0.36004,                 1.1119,                0.98099,                0.97398,                0.98337,                0.76048,                0.91245,                0.39092,                 1.3699,              0.0004358,              0.0004358,              0.0004358
                     81,                0.70932,                0.36285,                 1.1096,                0.98101,                0.97493,                0.98349,                0.76487,                0.90578,                 0.3893,                 1.3479,               0.000416,               0.000416,               0.000416
                     82,                0.72899,                0.34916,                 1.1148,                0.98106,                 0.9772,                0.98652,                0.76492,                0.91688,                0.38202,                 1.3526,              0.0003962,              0.0003962,              0.0003962
                     83,                0.70653,                0.36745,                 1.0953,                0.98105,                0.97692,                0.98602,                0.76802,                 0.9088,                0.36541,                 1.3484,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.6915,                0.34345,                 1.0761,                0.98106,                0.97723,                0.98573,                0.76476,                0.90847,                0.38325,                 1.3324,              0.0003566,              0.0003566,              0.0003566
                     85,                0.67903,                0.35005,                 1.0927,                0.98106,                0.97754,                 0.9863,                0.76085,                0.93499,                0.39154,                 1.3778,              0.0003368,              0.0003368,              0.0003368
                     86,                0.69085,                0.35777,                  1.086,                0.97811,                0.98113,                0.98432,                0.76167,                0.89569,                0.37623,                 1.3539,               0.000317,               0.000317,               0.000317
                     87,                0.72217,                0.38697,                 1.1154,                0.97802,                0.98113,                0.98569,                0.73816,                0.93703,                0.38201,                 1.4027,              0.0002972,              0.0002972,              0.0002972
                     88,                0.71743,                0.37332,                 1.1173,                0.97936,                0.98113,                0.98522,                0.76289,                0.89627,                0.37572,                 1.3515,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.7026,                0.36959,                 1.0918,                0.97992,                0.98113,                0.98483,                0.75284,                0.90716,                0.38978,                 1.3573,              0.0002576,              0.0002576,              0.0002576
